,Power
144.8,-101.35
145.0,-99.85
145.2,-101.04
145.4,-103.82
145.6,-105.39
145.8,-106.18
146.0,-93.62
146.2,-97.41
146.4,-99.89
146.6,-100.84
146.8,-96.37
147.0,-98.69
147.2,-95.15
147.4,-92.59
147.6,-95.79
147.8,-95.6
148.0,-96.93
148.2,-91.02
148.4,-88.22
148.6,-87.21
148.8,-91.37
149.0,-100.88
149.2,-101.13
149.4,-97.5
149.6,-97.29
149.8,-103.77
150.0,-90.96
150.2,-89.24
150.4,-88.16
150.6,-87.66
150.8,-97.76
151.0,-97.74
151.2,-99.78
151.4,-102.95
151.6,-97.23
151.8,-98.45
152.0,-99.22
152.2,-100.19
152.4,-101.53
152.6,-100.23
152.8,-102.87
153.0,-107.99
153.2,-101.48
153.4,-97.15
153.6,-95.45
153.8,-96.17
154.0,-97.85
154.2,-94.12
154.4,-91.58
154.6,-93.16
154.8,-99.44
155.0,-101.33
155.2,-97.9
155.4,-94.38
155.6,-90.61
155.8,-87.8
156.0,-87.53
156.2,-86.94
156.4,-83.88
156.6,-93.6
156.8,-86.59
157.0,-81.01
157.2,-84.34
157.4,-88.26
157.6,-98.43
157.8,-87.4
158.0,-93.39
158.2,-88.42
158.4,-85.33
158.6,-84.79
158.8,-90.57
159.0,-86.56
159.2,-82.86
159.4,-83.41
159.6,-80.72
159.8,-82.78
160.0,-90.27
160.2,-88.04
160.4,-101.22
160.6,-98.25
160.8,-100.21
161.0,-97.41
161.2,-99.36
161.4,-98.32
161.6,-97.04
161.8,-97.97
162.0,-109.17
162.2,-107.71
162.4,-107.4
162.6,-108.72
162.8,-99.08
163.0,-99.65
163.2,-102.1
163.4,-110.2
163.6,-107.37
163.8,-102.08
164.0,-97.87
164.2,-97.46
164.4,-95.68
164.6,-96.05
164.8,-96.15
165.0,-97.71
165.2,-93.84
165.4,-89.79
165.6,-88.44
165.8,-91.66
166.0,-99.15
166.2,-97.76
166.4,-97.2
166.6,-97.94
166.8,-98.4
167.0,-97.24
167.2,-95.04
167.4,-93.85
167.6,-95.32
167.8,-95.86
168.0,-91.58
168.2,-88.05
168.4,-112.51
168.6,-110.42
168.8,-113.36
169.0,-96.6
169.2,-96.63
169.4,-99.14
169.6,-103.08
169.8,-105.96
170.0,-98.38
170.2,-98.02
170.4,-102.96
170.6,-98.62
170.8,-98.78
171.0,-98.12
171.2,-105.55
171.4,-112.71
171.6,-94.58
171.8,-94.45
172.0,-96.62
172.2,-101.48
172.4,-96.94
172.6,-97.86
172.8,-100.71
173.0,-102.43
173.2,-108.13
173.4,-100.45
173.6,-98.49
173.8,-99.21
174.0,-90.87
174.2,-101.64
174.4,-112.11
174.6,-101.49
174.8,-86.54
175.0,-76.06
175.2,-71.99
175.4,-73.2
175.6,-81.23
175.8,-96.62
176.0,-113.05
176.2,-104.16
176.4,-100.53
176.6,-98.22
176.8,-98.64
177.0,-100.34
177.2,-115.99
177.4,-107.12
177.6,-104.72
177.8,-109.54
178.0,-102.49
178.2,-109.26
178.4,-108.43
178.6,-110.07
178.8,-92.33
179.0,-103.04
179.2,-96.47
179.4,-78.74
179.6,-68.45
179.8,-67.13
180.0,-71.0
180.2,-80.94
180.4,-101.35
180.6,-99.89
180.8,-99.2
181.0,-101.47
181.2,-103.06
181.4,-101.52
181.6,-97.33
181.8,-96.38
182.0,-99.35
182.2,-95.62
182.4,-92.16
182.6,-91.4
182.8,-90.43
183.0,-89.54
183.2,-90.02
183.4,-92.89
183.6,-109.6
183.8,-105.09
184.0,-105.68
184.2,-110.8
184.4,-93.02
184.6,-92.07
184.8,-93.39
185.0,-95.08
185.2,-98.12
185.4,-95.22
185.6,-96.37
185.8,-105.0
186.0,-112.68
186.2,-102.02
186.4,-96.28
186.6,-94.86
186.8,-96.52
187.0,-92.77
187.2,-90.54
187.4,-92.05
187.6,-97.37
187.8,-98.54
188.0,-100.16
188.2,-109.37
188.4,-95.07
188.6,-92.85
188.8,-92.12
189.0,-94.62
189.2,-106.91
189.4,-96.18
189.6,-91.72
189.8,-89.76
190.0,-96.73
190.2,-97.03
190.4,-95.71
190.6,-101.89
190.8,-97.8
191.0,-92.28
191.2,-89.32
191.4,-88.8
191.6,-91.12
191.8,-91.56
192.0,-93.24
192.2,-91.94
192.4,-101.67
192.6,-95.6
192.8,-103.53
193.0,-97.36
193.2,-93.12
193.4,-91.64
193.6,-95.53
193.8,-100.56
194.0,-96.67
194.2,-94.98
194.4,-91.63
194.6,-92.28
194.8,-92.89
195.0,-89.47
195.2,-91.63
195.4,-97.92
195.6,-95.49
195.8,-91.06
196.0,-90.36
196.2,-92.86
196.4,-97.3
196.6,-100.71
196.8,-93.52
197.0,-89.62
197.2,-90.37
197.4,-95.8
197.6,-101.38
197.8,-92.91
198.0,-98.43
198.2,-101.83
198.4,-99.76
198.6,-96.0
198.8,-98.47
199.0,-96.68
199.2,-99.09
199.4,-102.71
199.6,-85.93
199.8,-87.12
200.0,-86.46
200.2,-85.23
200.4,-90.76
200.6,-90.53
200.8,-93.09
201.0,-94.84
201.2,-92.4
201.4,-93.45
201.6,-96.73
201.8,-98.26
202.0,-100.47
202.2,-101.4
202.4,-112.7
202.6,-104.82
202.8,-102.97
203.0,-115.96
203.2,-96.51
203.4,-89.89
203.6,-109.92
203.8,-97.71
204.0,-93.8
204.2,-93.59
204.4,-107.9
204.6,-101.42
204.8,-98.7
205.0,-100.51
205.2,-99.18
205.4,-93.27
205.6,-91.17
205.8,-92.37
206.0,-104.04
206.2,-99.17
206.4,-95.31
206.6,-95.11
206.8,-104.65
207.0,-105.83
207.2,-106.57
207.4,-108.23
207.6,-93.2
207.8,-99.09
208.0,-101.83
208.2,-101.3
208.4,-94.99
208.6,-93.64
208.8,-93.28
209.0,-95.51
209.2,-107.09
209.4,-107.47
209.6,-108.74
209.8,-111.15
210.0,-106.37
210.2,-106.45
210.4,-106.25
210.6,-109.94
210.8,-106.78
211.0,-102.59
211.2,-103.05
211.4,-104.61
211.6,-97.97
211.8,-99.41
212.0,-102.46
212.2,-102.66
212.4,-101.32
212.6,-100.89
212.8,-106.96
213.0,-112.28
213.2,-103.13
213.4,-100.99
213.6,-101.65
213.8,-105.35
214.0,-111.57
214.2,-109.43
214.4,-105.42
214.6,-105.72
214.8,-107.7
215.0,-105.58
215.2,-98.23
215.4,-101.76
215.6,-97.19
215.8,-95.81
216.0,-97.91
216.2,-102.93
216.4,-105.24
216.6,-104.17
216.8,-107.64
217.0,-104.02
217.2,-109.36
217.4,-113.41
217.6,-114.32
217.8,-105.7
218.0,-98.33
218.2,-98.46
218.4,-100.11
218.6,-106.23
218.8,-102.61
219.0,-100.13
219.2,-99.79
219.4,-106.42
219.6,-110.46
219.8,-118.77
220.0,-107.22
220.2,-105.61
220.4,-107.73
220.6,-105.02
220.8,-101.72
221.0,-101.07
221.2,-102.84
221.4,-103.34
221.6,-110.44
221.8,-108.1
222.0,-108.71
222.2,-113.89
222.4,-105.56
222.6,-106.11
222.8,-102.84
223.0,-106.41
223.2,-105.28
223.4,-104.63
223.6,-96.27
223.8,-99.33
224.0,-103.36
224.2,-105.99
224.4,-101.71
224.6,-105.4
224.8,-108.67
225.0,-102.88
225.2,-101.12
225.4,-109.42
225.6,-109.69
225.8,-100.77
226.0,-93.56
226.2,-97.94
226.4,-106.56
226.6,-110.29
226.8,-88.59
227.0,-86.49
227.2,-84.96
227.4,-85.15
227.6,-89.37
227.8,-89.42
228.0,-89.84
228.2,-86.97
228.4,-105.78
228.6,-113.81
228.8,-109.64
229.0,-99.12
229.2,-99.43
229.4,-100.4
229.6,-102.63
229.8,-110.44
230.0,-96.57
230.2,-96.38
230.4,-99.82
230.6,-106.44
230.8,-101.25
231.0,-98.19
231.2,-96.2
231.4,-96.69
231.6,-99.07
231.8,-103.61
232.0,-103.84
232.2,-101.07
232.4,-94.56
232.6,-94.74
232.8,-98.46
233.0,-108.09
233.2,-97.12
233.4,-93.56
233.6,-90.94
233.8,-91.35
234.0,-99.87
234.2,-107.0
234.4,-112.56
234.6,-113.27
234.8,-102.51
235.0,-115.32
235.2,-100.79
235.4,-97.89
235.6,-99.01
235.8,-112.88
236.0,-99.51
236.2,-95.57
236.4,-100.2
236.6,-97.19
236.8,-100.25
237.0,-110.35
237.2,-102.22
237.4,-103.29
237.6,-110.33
237.8,-105.53
238.0,-105.8
238.2,-101.2
238.4,-100.56
238.6,-112.61
238.8,-106.68
239.0,-97.63
239.2,-92.59
239.4,-92.13
239.6,-108.03
239.8,-108.32
240.0,-103.47
240.2,-99.8
240.4,-98.32
240.6,-100.36
240.8,-99.24
241.0,-92.64
241.2,-101.17
241.4,-100.91
241.6,-96.11
241.8,-93.76
242.0,-93.69
242.2,-94.35
242.4,-98.4
242.6,-99.09
